sku,name,category,cost_price_tzs,selling_price_tzs,quantity_in_stock,reorder_level,description,image_url
SOAP-001,Lux White Soap Pack 4x100g,Personal Care,4800,6000,45,50,Premium white soap bars ideal for daily bathing,https://via.placeholder.com/200?text=Lux+Soap
SHAMPOO-001,Sunsilk Shampoo 170ml,Personal Care,2200,2900,60,25,Silky smooth hair shampoo for all hair types,https://via.placeholder.com/200?text=Sunsilk+Shampoo
TOOTHPASTE-001,Colgate Maximum Cavity 150ml,Personal Care,2800,3600,75,35,Advanced fluoride toothpaste with whitening formula,https://via.placeholder.com/200?text=Colgate+Toothpaste
LOTION-001,Vaseline Body Lotion 400ml,Personal Care,3500,4800,55,20,Rich moisturizing lotion for dry skin,https://via.placeholder.com/200?text=Vaseline+Lotion
DEODORANT-001,Axe Deodorant Spray 150ml,Personal Care,2100,3000,40,15,Long-lasting deodorant spray for all day protection,https://via.placeholder.com/200?text=Axe+Deodorant
RICE-001,Pishori Rice Premium 5kg,Grains,8500,10000,85,25,High quality basmati-style long grain rice,https://via.placeholder.com/200?text=Pishori+Rice
RICE-002,Wamela White Rice 10kg,Grains,16000,19000,50,15,Pure white polished rice for everyday cooking,https://via.placeholder.com/200?text=Wamela+Rice
FLOUR-001,Jogoo Wheat Flour 2kg,Grains,2500,3200,75,30,High protein wheat flour for baking and cooking,https://via.placeholder.com/200?text=Jogoo+Flour
BEANS-001,Red Kidney Beans 1kg,Grains,2200,3000,65,25,Dried red beans rich in protein and fiber,https://via.placeholder.com/200?text=Red+Beans
LENTILS-001,Green Lentils 1kg,Grains,3500,4500,40,20,Nutritious green lentils perfect for soups,https://via.placeholder.com/200?text=Green+Lentils
OIL-001,Sunflower Cooking Oil 1L,Cooking,5000,6500,12,20,Pure refined sunflower oil for health cooking,https://via.placeholder.com/200?text=Sunflower+Oil
OIL-002,Palm Oil Red 1L,Cooking,4000,5300,30,20,Traditional red palm oil for authentic cooking,https://via.placeholder.com/200?text=Palm+Oil
OIL-003,Corn Oil 500ml,Cooking,2800,3800,45,15,Light cooking oil perfect for frying and sauteing,https://via.placeholder.com/200?text=Corn+Oil
SALT-001,Iodized Table Salt 500g,Cooking,600,900,120,100,Fine quality iodized salt for kitchen use,https://via.placeholder.com/200?text=Table+Salt
SUGAR-001,White Refined Sugar 1kg,Cooking,1800,2300,22,50,Pure white cane sugar for beverages and baking,https://via.placeholder.com/200?text=Sugar
HONEY-001,Natural Raw Honey 500ml,Cooking,6000,8500,35,15,Pure unprocessed honey with natural enzymes,https://via.placeholder.com/200?text=Raw+Honey
VINEGAR-001,White Distilled Vinegar 500ml,Cooking,1200,1800,50,25,Clear vinegar for cooking and preservation,https://via.placeholder.com/200?text=White+Vinegar
SPICE-PEPPER,Black Pepper Powder 100g,Spices,3500,4800,25,10,Fine ground black pepper for authentic flavor,https://via.placeholder.com/200?text=Black+Pepper
SPICE-GARLIC,Garlic Powder 100g,Spices,2800,4000,35,12,Premium ground garlic for instant flavoring,https://via.placeholder.com/200?text=Garlic+Powder
SPICE-TURMERIC,Turmeric Powder 100g,Spices,2200,3500,20,10,Golden turmeric with anti-inflammatory benefits,https://via.placeholder.com/200?text=Turmeric+Powder
SPICE-CUMIN,Cumin Seeds 100g,Spices,2500,3800,30,8,Aromatic cumin seeds for traditional dishes,https://via.placeholder.com/200?text=Cumin+Seeds
COLA-001,Coca Cola 500ml Bottle,Beverages,1200,1800,150,60,Classic cold beverage carbonated soft drink,https://via.placeholder.com/200?text=Coca+Cola
COLA-002,Fanta Orange 500ml,Beverages,1100,1700,145,60,Refreshing orange flavored carbonated drink,https://via.placeholder.com/200?text=Fanta+Orange
JUICE-001,Minute Maid Orange Juice 200ml,Beverages,1500,2200,35,45,Fresh tasting orange juice concentrate drink,https://via.placeholder.com/200?text=Orange+Juice
WATER-001,Pure Drinking Water 500ml,Beverages,400,700,200,120,Clean purified bottled drinking water,https://via.placeholder.com/200?text=Pure+Water
TEA-001,Black Tea Leaves 100g,Beverages,2000,2800,55,25,Premium quality loose black tea leaves,https://via.placeholder.com/200?text=Black+Tea
COFFEE-001,Ground Coffee Beans 100g,Beverages,5000,7000,40,15,Premium roasted ground coffee for rich taste,https://via.placeholder.com/200?text=Coffee+Beans
MILK-001,Ushindi Milk Powder 400g,Dairy,7000,9000,60,20,Fortified full cream milk powder nutritious,https://via.placeholder.com/200?text=Milk+Powder
CHEESE-001,Kraft Cheddar Cheese 200g,Dairy,4500,6500,30,12,Sliced cheddar cheese mild and creamy,https://via.placeholder.com/200?text=Cheddar+Cheese
EGGS-001,Farm Fresh Eggs 1 Dozen,Dairy,3000,4200,90,50,Fresh free range chicken eggs brown color,https://via.placeholder.com/200?text=Fresh+Eggs
