sku,name,category,cost_price_tzs,selling_price_tzs,reorder_level,description,image_url
SOAP001,Lux White Soap 100g,Personal Care,1200,1500,50,Premium white soap for daily use,https://via.placeholder.com/200?text=Lux+Soap
SOAP002,Lifebuoy Red Soap 100g,Personal Care,1000,1300,50,Antibacterial soap,https://via.placeholder.com/200?text=Lifebuoy+Soap
SHAMPOO001,Head & Shoulders Shampoo 200ml,Personal Care,2500,3200,30,Anti-dandruff shampoo,https://via.placeholder.com/200?text=Shampoo
TOOTHPASTE001,Colgate Bright White 75ml,Personal Care,1800,2300,40,Fluoride toothpaste,https://via.placeholder.com/200?text=Toothpaste
RICE001,Pishori Rice 2kg,Grains,3500,4200,30,Premium basmati-style rice,https://via.placeholder.com/200?text=Pishori+Rice
RICE002,Wamela Rice 10kg,Grains,17000,20000,20,Bulk white rice,https://via.placeholder.com/200?text=Wamela+Rice
FLOUR001,PRO Wheat Flour 2kg,Grains,2800,3500,30,High-protein wheat flour,https://via.placeholder.com/200?text=Wheat+Flour
MAIZE001,Maize Meal 5kg,Grains,2500,3100,25,Ground maize flour,https://via.placeholder.com/200?text=Maize+Meal
OIL001,Sunflower Oil 1L,Cooking,5500,6800,20,Pure refined sunflower oil,https://via.placeholder.com/200?text=Sunflower+Oil
OIL002,Palm Oil 1L,Cooking,4800,6000,20,Cooking palm oil,https://via.placeholder.com/200?text=Palm+Oil
SALT001,Purity Salt 500g,Cooking,500,750,100,Fine table salt,https://via.placeholder.com/200?text=Table+Salt
PEPPER001,Black Pepper 100g,Spices,3000,4200,10,Ground black pepper,https://via.placeholder.com/200?text=Black+Pepper
GARLIC001,Garlic Powder 100g,Spices,2500,3500,15,Premium garlic powder,https://via.placeholder.com/200?text=Garlic+Powder
TURMERIC001,Turmeric Powder 100g,Spices,2000,3000,10,Organic turmeric,https://via.placeholder.com/200?text=Turmeric
COCACOLA001,Coca Cola 500ml,Beverages,1400,2000,60,Carbonated soft drink,https://via.placeholder.com/200?text=Coca+Cola
FANTA001,Fanta Orange 500ml,Beverages,1300,1900,60,Orange flavored soda,https://via.placeholder.com/200?text=Fanta+Orange
